Name,Long,Lat,Con_41520,Con_50120
1,-90.064835,29.94035,30,10
2,-90.06466,29.940365,25,40
3,-90.065186,29.940268,0,5
4,-90.06496,29.940441,50,5
5,-90.06523,29.940292,15,10
6,-90.06529,29.94027,10,5
7,-90.06562,29.940405,30,20
8,-90.0656,29.940674,0,0
9,-90.065506,29.940786,0,0
10,-90.064804,29.940819,100,0
11,-90.06993,29.942856,0,0
12,-90.07001,29.9428,0,0
13,-90.070114,29.942682,40,45
14,-90.069786,29.942583,0,0
15,-90.07001,29.9428,5,5
16,-90.068924,29.94278,0,0
17,-90.06935,29.942665,0,0
18,-90.0695,29.942532,5,5
19,-90.070015,29.942724,0,0
20,-90.07001,29.942923,0,10
21,-90.071144,29.941519,5,NA
22,-90.0713,29.941689,0,15
23,-90.07119,29.941769,15,35
24,-90.0712,29.941809,10,30
25,-90.0712,29.941833,5,5
26,-90.07122,29.941849,25,40
27,-90.07125,29.941921,55,50
28,-90.071396,29.941992,90,15
29,-90.07149,29.94202,65,30
30,-90.07163,29.942005,5,15
31,-90.07054,29.948887,0,0
32,-90.07061,29.94879,100,0
33,-90.0698,29.9487,100,0
34,-90.06984,29.948645,100,35
35,-90.07013,29.9479,100,5
36,-90.07016,29.947905,100,0
37,-90.070854,29.94801,100,0
38,-90.0708,29.94813,100,0
39,-90.070465,29.948221,100,NA
40,-90.07015,29.948473,100,NA